1,6829716
2,6323181
3,6300492
4,6194644
5,6175677
6,6097220
7,6071735
8,5891344
9,5879325
10,5861092
11,5758128
12,5699166
13,5660282
14,5624504
15,5592919
16,5572483
17,5545689
18,5396354
19,5370644
20,5351545
21,5321424
22,5274324
23,5268008
24,5226210
25,5225699
26,5185150
27,5121595
28,5093849
29,5088894
30,5076474
31,5065870
32,5057101
33,4850111
34,4819877
35,4763552
36,4762095
37,4672222
38,4654324
39,4653306
40,4637313
41,4555864
42,4511254
43,4503444
44,4481334
45,4474787
46,4455638
47,4447876
48,4436409
49,4417503
50,4386727
51,4343344
52,4340417
53,4315452
54,4304209
55,4282401
56,4277559
57,4269689
58,4221555
59,4213527
60,4200944
61,4199835
62,4189912
63,4156933
64,4144541
65,4126106
66,4111711
67,4110761
68,4108424
69,4022436
70,4016244
71,3977197
72,3974204
73,3953354
74,3878358
75,3873537
76,3747894
77,3715758
78,3704182
79,3610565
80,3561439
81,3560803
82,3550764
83,3482282
84,3417478
85,3417298
86,3380573
87,3332523
88,3203725
89,3176082
90,3147177
91,3129558
92,3111218
93,3102128
94,3068325
95,3013410
96,2943415
97,2853148
98,2807556
99,2781190
100,2775339
101,2662668
102,2623213
103,2605962
104,2556689
105,2530538
106,2513461
107,2481171
108,2474816
109,2437869
110,2390135
111,2375883
112,2371145
113,2356563
114,2325700
115,2289911
116,2277774
117,2275007
118,2270618
119,2266375
120,2262397
121,2243833
122,2237796
123,2225760
124,2225520
125,2221081
126,2216037
127,2205244
128,2198366
129,2196774
130,2190399
131,2161919
132,2161019
133,2155485
134,2155080
135,2154682
136,2154407
137,2148650
138,2133816
139,2132124
140,2128023
141,2123146
142,2114502
143,2098932
144,2097654
145,2083932
146,2069947
147,2056799
148,2052792
149,2046538
150,2031568
151,2028973
152,2004419
153,1999243
154,1987705
155,1980973
156,1966554
157,1958472
158,1952016
159,1948991
160,1944379
161,1932477
162,1928488
163,1923849
164,1920354
165,1918730
166,1902060
167,1891722
168,1890634
169,1880554
170,1876192
171,1865043
172,1864121
173,1857601
174,1842955
175,1841248
176,1831991
177,1814492
178,1808036
179,1807944
180,1796807
181,1788185
182,1777025
183,1770545
184,1768869
185,1768066
186,1759190
187,1754463
188,1710151
189,1707843
190,1700275
191,1681474
192,1658565
193,1649752
194,1646904
195,1640052
196,1627274
197,1614357
198,1606269
199,1605762
200,1604006
201,1603682
202,1601655
203,1592452
204,1590142
205,1577197
206,1572411
207,1569392
208,1565516
209,1565249
210,1550183
211,1543150
212,1539253
213,1536020
214,1534595
215,1531642
216,1529320
217,1518552
218,1516927
219,1512605
220,1506134
221,1504253
222,1503720
223,1502694
224,1499159
225,1493179
226,1491711
227,1489935
228,1488568
229,1488189
230,1484399
231,1483707
232,1476750
233,1474760
234,1474669
235,1474270
236,1473805
237,1472092
238,1466932
239,1461948
240,1458852
241,1452268
242,1449262
243,1448565
244,1446803
245,1429861
246,1428134
247,1427871
248,1423540
249,1416955
250,1416494
251,1412526
252,1407905
253,1407812
254,1404771
255,1402223
256,1400945
257,1398574
258,1397374
259,1394272
260,1390924
261,1390912
262,1388456
263,1384932
264,1380261
265,1377687
266,1372398
